CustomerID,Recency,Frequency,Monetary,AvgOrderValue,OrderValueStd,MinOrderValue,MaxOrderValue,TotalQuantity,FirstPurchase,LastPurchase,CustomerLifetime,R_Score,F_Score,M_Score,RFM_Score,RFM_Value,Segment,Churned,Churn_Probability,Churn_Risk
12347,2,7,3783.23,21.495625,14.927957420558247,5.04,106.2,2155,2010-12-07 14:57:00,2011-12-07 15:52:00,365,5,5,5,555,5.0,Champions,0,0.0,
12348,249,3,90.2,15.033333333333333,3.036884368339806,13.200000000000001,20.4,140,2010-12-16 19:09:00,2011-04-05 10:47:00,109,1,3,1,131,1.6666666666666667,Lost,1,0.9926125849220636,High
12349,19,1,1328.55,19.537499999999998,10.10936161012055,6.64,59.400000000000006,623,2011-11-21 09:51:00,2011-11-21 09:51:00,0,4,1,4,414,3.0,New Customers,0,0.0,
12350,310,1,294.4,18.4,5.214211349763262,8.5,25.200000000000003,196,2011-02-02 16:01:00,2011-02-02 16:01:00,0,1,1,2,112,1.3333333333333333,Lost,1,0.9997217380605739,High
12352,36,7,1321.99,17.626533333333334,4.2602593162202504,9.9,35.7,521,2011-02-16 12:33:00,2011-11-03 14:37:00,260,3,5,4,354,4.0,Loyal Customers,0,0.0,
12353,204,1,89.0,22.25,12.215427404174878,11.6,39.8,20,2011-05-19 17:47:00,2011-05-19 17:47:00,0,1,1,1,111,1.0,Lost,1,0.9994233287509746,High
12354,232,1,1013.6,18.770370370370372,8.97713068479766,8.5,54.08,526,2011-04-21 13:11:00,2011-04-21 13:11:00,0,1,1,4,114,2.0,Lost,1,0.9988942485795078,High
12355,214,1,238.9,23.89,6.98815664773861,17.700000000000003,39.6,82,2011-05-09 13:49:00,2011-05-09 13:49:00,0,1,1,2,112,1.3333333333333333,Lost,1,0.9999081712062257,High
12356,23,3,1778.89,41.36953488372093,35.77825276906473,3.75,175.2,739,2011-01-18 09:50:00,2011-11-17 08:40:00,302,4,3,5,435,4.0,Potential Loyalists,0,0.0,
12357,33,1,4817.2300000000005,41.88895652173913,33.24129843596094,10.08,149.4,1947,2011-11-06 16:07:00,2011-11-06 16:07:00,0,4,1,5,415,3.3333333333333335,New Customers,0,0.0,
12358,2,2,928.0600000000001,54.591764705882355,48.94966601460296,9.36,142.8,242,2011-07-12 10:04:00,2011-12-08 10:26:00,149,5,2,4,524,3.6666666666666665,Potential Loyalists,0,0.004548929663608563,Low
12359,58,4,4175.9800000000005,19.06840182648402,7.865777209141499,6.959999999999999,66.6,1540,2011-01-12 12:43:00,2011-10-13 12:47:00,274,3,4,5,345,4.0,Loyal Customers,0,0.004006734006734007,Low
12360,52,3,1931.26,15.960826446280992,7.311618674727786,5.04,49.800000000000004,1132,2011-05-23 09:43:00,2011-10-18 15:22:00,148,3,3,5,335,3.6666666666666665,Need Attention,0,0.0,
12361,287,1,174.9,19.433333333333334,3.145631892005165,16.5,23.4,90,2011-02-25 13:51:00,2011-02-25 13:51:00,0,1,1,1,111,1.0,Lost,1,0.9999081712062257,High
12362,3,10,4512.03,18.26732793522267,7.08128612303224,2.88,46.8,2185,2011-02-17 10:30:00,2011-12-06 15:40:00,292,5,5,5,555,5.0,Champions,0,0.0,
12363,110,2,552.0,24.0,15.751238912311859,13.200000000000001,69.36,408,2011-04-11 13:29:00,2011-08-22 10:18:00,132,2,2,3,223,2.3333333333333335,About to Sleep,1,0.9926583825963143,High
12364,8,3,1143.3,14.29125,6.205004794008692,5.04,30.0,1319,2011-08-19 15:24:00,2011-12-02 10:22:00,104,5,3,4,534,4.0,Potential Loyalists,0,0.0,
12365,291,1,307.94,15.397,3.3654155917602755,5.04,19.75,172,2011-02-21 13:51:00,2011-02-21 13:51:00,0,1,1,2,112,1.3333333333333333,Lost,1,0.9897217380605738,High
12367,4,1,138.3,15.366666666666667,6.1696839465243265,9.9,23.4,112,2011-12-05 16:48:00,2011-12-05 16:48:00,0,5,1,1,511,2.3333333333333335,New Customers,0,0.0,
12370,51,4,2915.06,18.567261146496815,14.958132151127563,1.25,88.5,1421,2010-12-14 12:58:00,2011-10-19 14:51:00,309,3,4,5,345,4.0,Loyal Customers,0,0.0,
12371,60,1,1476.96,24.212459016393442,13.01832806158785,4.68,88.5,578,2011-10-11 10:43:00,2011-10-11 10:43:00,0,3,1,4,314,2.6666666666666665,Lost,0,0.0,
12372,72,3,1196.04,24.408979591836733,16.71064783365409,10.08,70.80000000000001,788,2011-02-16 12:46:00,2011-09-29 12:12:00,224,2,3,4,234,3.0,About to Sleep,0,0.05861600178998945,Low
12373,311,1,324.6,24.96923076923077,9.826697021836702,8.5,39.0,196,2011-02-01 13:10:00,2011-02-01 13:10:00,0,1,1,2,112,1.3333333333333333,Lost,1,0.9997217380605739,High
12374,25,1,563.53,18.784333333333333,9.197035010725239,5.04,52.02,335,2011-11-14 15:37:00,2011-11-14 15:37:00,0,4,1,3,413,2.6666666666666665,New Customers,0,0.0,
12375,11,2,377.5,25.166666666666668,14.77472101098295,8.5,62.400000000000006,176,2011-09-02 14:23:00,2011-11-29 10:36:00,87,5,2,2,522,3.0,Potential Loyalists,0,0.0025733548168249665,Low
12377,315,2,1548.12,20.369999999999997,14.058976918680822,5.04,79.2,942,2010-12-20 09:37:00,2011-01-28 15:45:00,39,1,2,4,124,2.3333333333333335,Hibernating,1,0.9987513433237318,High
12378,130,1,3660.7400000000002,17.59971153846154,7.927982418648369,4.68,69.36,2085,2011-08-02 10:34:00,2011-08-02 10:34:00,0,2,1,5,215,2.6666666666666665,Lost,1,0.9641783689170389,High
12379,82,2,736.44,19.903783783783787,11.445502598389016,8.5,76.19999999999999,354,2011-06-22 16:32:00,2011-09-19 10:09:00,88,2,2,3,223,2.3333333333333335,About to Sleep,0,0.07270613767852184,Low
12380,22,4,1911.8700000000001,19.915312500000002,10.558601178597675,7.800000000000001,75.60000000000001,960,2011-06-07 09:49:00,2011-11-18 11:27:00,164,4,4,5,445,4.333333333333333,Champions,0,0.0,
12381,5,5,1421.56,17.7695,7.794662714668483,4.5,68.0,794,2011-08-12 09:57:00,2011-12-05 12:44:00,115,5,4,4,544,4.333333333333333,Champions,0,0.0,
12383,185,5,1478.99,16.999885057471264,10.174247528801935,5.04,65.69999999999999,1128,2010-12-22 14:28:00,2011-06-08 08:02:00,167,1,4,4,144,3.0,Loyal Customers,1,0.9941725105189341,High
12384,29,2,388.62,16.896521739130435,4.067156264400396,6.64,25.200000000000003,119,2011-08-10 11:23:00,2011-11-11 08:39:00,92,4,2,2,422,2.6666666666666665,Potential Loyalists,0,0.004006734006734006,Low
12386,367,1,215.7,30.814285714285713,18.60863854696062,17.700000000000003,71.4,94,2010-12-08 09:53:00,2010-12-08 09:53:00,0,1,1,2,112,1.3333333333333333,Lost,1,0.9999081712062257,High
12388,16,6,2609.2000000000003,27.17916666666667,16.44060702341144,9.36,81.36,1172,2011-01-17 11:12:00,2011-11-24 12:30:00,311,4,5,5,455,4.666666666666667,Champions,0,0.0,
12390,80,1,470.94,16.239310344827587,5.328187799024625,7.800000000000001,30.0,348,2011-09-21 09:33:00,2011-09-21 09:33:00,0,2,1,3,213,2.0,Lost,0,0.06914646320092023,Low
12391,22,1,422.71,4.594673913043478,5.588586770400993,0.83,29.5,292,2011-11-18 12:07:00,2011-11-18 12:07:00,0,4,1,3,413,2.6666666666666665,New Customers,0,0.0,
12393,72,4,1441.0,22.873015873015873,10.348179773698188,10.2,49.5,768,2011-01-11 09:47:00,2011-09-28 15:41:00,260,2,4,4,244,3.3333333333333335,Loyal Customers,0,0.05575984348260004,Low
12394,64,2,590.08,26.821818181818184,30.976168971579494,6.8,132.8,248,2011-05-06 14:01:00,2011-10-07 08:08:00,153,3,2,3,323,2.6666666666666665,Need Attention,0,0.0,
12395,19,12,1973.6200000000001,15.663650793650795,6.969573485162443,2.5,59.4,1234,2010-12-03 16:35:00,2011-11-20 15:21:00,351,4,5,5,455,4.666666666666667,Champions,0,0.0,
12397,36,2,1915.55,16.372222222222224,6.399563577672646,5.04,51.0,1229,2011-07-27 14:21:00,2011-11-04 09:52:00,99,3,2,5,325,3.3333333333333335,Need Attention,0,0.003757894736842105,Low
12398,46,1,1435.66,17.091190476190476,10.52770818029958,6.64,76.19999999999999,1389,2011-10-25 10:27:00,2011-10-25 10:27:00,0,3,1,4,314,2.6666666666666665,Lost,0,0.0,
12399,119,4,778.65,16.567021276595746,7.986893044202951,8.4,49.5,729,2011-03-23 09:42:00,2011-08-12 13:15:00,142,2,4,4,244,3.3333333333333335,Loyal Customers,1,0.988544844935131,High
12401,303,1,43.8,14.6,3.4673476895171627,10.95,17.85,8,2011-02-09 13:50:00,2011-02-09 13:50:00,0,1,1,1,111,1.0,Lost,1,0.9960518338731732,High
12402,323,1,195.6,19.56,6.865566254869297,9.899999999999999,35.400000000000006,92,2011-01-20 13:49:00,2011-01-20 13:49:00,0,1,1,1,111,1.0,Lost,1,0.9999081712062257,High
12403,50,1,391.7,97.925,67.87642570632802,9.9,166.0,94,2011-10-21 10:51:00,2011-10-21 10:51:00,0,3,1,2,312,2.0,Promising,0,0.0,
12405,149,1,1266.0700000000002,27.52326086956522,16.01815082327238,9.959999999999999,79.5,513,2011-07-14 08:52:00,2011-07-14 08:52:00,0,2,1,4,214,2.3333333333333335,Lost,1,0.9908011857729976,High
12406,22,2,3076.98,30.7698,20.78539847726249,5.04,99.60000000000001,1658,2011-06-09 10:23:00,2011-11-17 19:22:00,161,4,2,5,425,3.6666666666666665,Potential Loyalists,0,0.0,
12407,50,5,1266.36,18.90089552238806,11.3166909087985,2.88,67.5,903,2011-03-20 13:21:00,2011-10-21 10:11:00,214,3,4,4,344,3.6666666666666665,Loyal Customers,0,0.0,
12408,33,5,1956.21,21.03451612903226,12.965324281741479,2.88,60.0,1065,2011-03-24 14:46:00,2011-11-07 12:27:00,227,4,4,5,445,4.333333333333333,Champions,0,0.0,
12409,79,3,4101.91,89.17195652173913,56.93942182977606,2.88,262.79999999999995,1001,2011-06-10 12:19:00,2011-09-22 10:38:00,103,2,3,5,235,3.3333333333333335,About to Sleep,0,0.03169443015502654,Low
